_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
92681,NONE,,YES,NO,NO,NO,NO,8 indoor parking spots and 0 outdoor parking spots,3.0,17.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2001.0,HOT WATER,NO,YES,NO,NO,YES,24/7,RAISED BASEMENT,YES,0.0,6.0,0.0,4.0,YES,YES,Surface Parking,M4R,,YES,NOT APPLICABLE,PRIVATE,OUTSIDE,4154015.0,NO,YES,NO,80  CASTLEFIELD AVE ,YES,NO,1955.0,,UNAVAILABLE,8,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
92682,NONE,,YES,NO,YES,YES,NO,12 indoor parking spots and 0 outdoor parking spots,4.0,26.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2005.0,HOT WATER,NO,YES,NO,YES,YES,24/7,BASEMENT,YES,0.0,9.0,0.0,4.0,NO,YES,"Ground Level Garage , Carport",M4R,,YES,MAYA INVESTMENTS LTD.,PRIVATE,BACK OF BUILDING,4154016.0,NO,YES,NO,132  CASTLEFIELD AVE ,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
92683,INDIVIDUAL UNITS,Indoor recreation room,YES,NO,YES,NO,NO,Not Available,3.0,21.0,,,,,,,,YES,Green Bin / Organics,YES,NO,INSIDE GARBAGE ROOM,ORIGINAL,1993.0,ELECTRIC,YES,NO,YES,NO,YES,24/7,BASEMENT,NO,0.0,0.0,0.0,4.0,NO,YES,,M6K,,YES,MAINSTAY HOUSING,SOCIAL HOUSING,INSIDE GARBAGE ROOM,4153065.0,NO,NO,NO,10  LANSDOWNE AVE ,YES,YES,1993.0,,UNAVAILABLE,4,DOUBLE PANE,1897.0,,2017.0,,,,,,,,
92684,NONE,,YES,YES,YES,YES,YES,Not Available,22.0,294.0,"JAN 1, 2017",,,,TOTAL,REPLACED,,NO,Recycling bins,YES,YES,,ORIGINAL,1966.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 10PM,BASEMENT,NO,2.0,10.0,3.0,20.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6R,,YES,THE DMS GROUP,PRIVATE,BACK OF PROPERTY,4153066.0,NO,YES,NO,55  TRILLER AVE ,NO,,,YES,FREE,4,SINGLE PANE,1966.0,2016.0,2017.0,,,,,,,,
92685,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,24.0,,,,,,,,NO,Green Bin / Organics,YES,NO,AT SIDE OF BUILDING,REPLACED,2011.0,HOT WATER,NO,YES,NO,NO,YES,9:00 TO 9:00,LOWER LEVEL,NO,0.0,0.0,0.0,4.0,YES,YES,Surface Parking,M4L,,YES,AYKLER REAL ESTATE INC.,SOCIAL HOUSING,AT SIDE OF BUILDING,4153675.0,NO,YES,NO,23  EDGEWOOD AVE ,NO,,,,UNAVAILABLE,19,SINGLE PANE,1959.0,,2017.0,,,,,,,,
92686,NONE,,YES,YES,YES,YES,YES,Not Available,3.0,20.0,,,,,,,,YES,Green Bin / Organics,YES,NO,CARPOT,ORIGINAL,2003.0,ELECTRIC,NO,NO,YES,NO,YES,24,GROUD FLOOR,NO,0.0,0.0,0.0,4.0,NO,YES,"Carport , Surface Parking",M6H,,NO,,SOCIAL HOUSING,CARPOT,4153101.0,NO,NO,NO,973  LANSDOWNE AVE ,NO,,,,UNAVAILABLE,9,DOUBLE PANE,2003.0,,2017.0,,,,,,,,
92687,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,9.0,186.0,"SEP 26, 2017",,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,2002.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,4.0,6.0,2.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg",M6N,,YES,,TCHC,SIDE OF BUILDING,4153107.0,NO,NO,NO,1884  DAVENPORT RD ,YES,YES,2002.0,YES,UNAVAILABLE,9,DOUBLE PANE,1978.0,,2017.0,,,,,,,,
92688,INDIVIDUAL UNITS,,YES,YES,YES,YES,YES,30 indoor parking spots and 10 outdoor parking spots,8.0,104.0,"MAR 27, 2014",,,,,REPLACED,,NO,Green Bin / Organics,YES,YES,SE CORNER OF PROPERTY,REPLACED,1998.0,HOT WATER,NO,YES,YES,NO,YES,8AM TO 8 PM,SECOND FLOOR,YES,104.0,5.0,2.0,10.0,NO,YES,"Underground Garage , Ground Level Garage , Surface Parking",M6H,,YES,,PRIVATE,SE CORNER OF PROPERTY,4153109.0,NO,NO,NO,2  REGAL RD ,YES,YES,1955.0,YES,FREE,9,DOUBLE PANE,1955.0,1998.0,2017.0,,,,,,,,
92689,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,75.0,,,,,,REPLACED,YES,NO,Green Bin / Organics,YES,NO,,REPLACED,2018.0,HOT WATER,NO,YES,NO,NO,YES,24/7,GROUND LEVEL,YES,0.0,0.0,1.0,8.0,YES,YES,Surface Parking,M4L,,YES,AKELIUS CANADA LTD,PRIVATE,,4153690.0,NO,YES,NO,501  KINGSTON RD ,YES,YES,2013.0,YES,UNAVAILABLE,19,DOUBLE PANE,1950.0,2011.0,2018.0,,,,,,,,
92690,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,12.0,,,,,,,YES,YES,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,1964.0,HOT WATER,NO,NO,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,2.0,YES,YES,Surface Parking,M4L,,YES,2304484 ONTARIO INC,PRIVATE,OUTDOOR,4153700.0,NO,YES,NO,4  NEWBOLD AVE ,YES,YES,1964.0,,UNAVAILABLE,19,DOUBLE PANE,1964.0,,2017.0,,,,,,,,
92691,NONE,,YES,YES,NO,YES,NO,25 indoor parking spots and 0 outdoor parking spots,6.0,48.0,"MAY 8, 2013",,,,,ORIGINAL,,YES,Recycling bins,YES,NO,,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,9:00AM TO 10:00PM,BASEMENT,YES,0.0,0.0,1.0,4.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4L,,YES,COGIR MANAGEMENT CORPORATION,PRIVATE,REAR OF BUILDING,4153701.0,NO,YES,NO,1636  GERRARD ST E,YES,YES,1960.0,YES,UNAVAILABLE,19,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92692,NONE,,YES,YES,YES,YES,YES,Not Available,3.0,39.0,,,,,,,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1954.0,HOT WATER,NO,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,2.0,0.0,6.0,YES,YES,Surface Parking,M4L,,NO,TCH,TCHC,BACK OF BUILDING,4153707.0,NO,NO,NO,320  KINGSTON RD ,YES,YES,1954.0,,PAID,19,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
92693,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,38.0,"SEP 1, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,FRONT OF BUILDING,ORIGINAL,1974.0,HOT WATER,NO,YES,NO,NO,YES,NOT KNOWN,GROUND FLOOR,YES,0.0,0.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M4E,NONE,YES,POTOMAC CONSTRUCTION LIMITED,PRIVATE,FRONT OF BUILDING,4153709.0,NO,NO,NO,50  MAIN ST ,YES,YES,1974.0,YES,FREE,19,SINGLE PANE,1974.0,,2017.0,,,,,,,,
92694,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,5.0,108.0,"JUN 25, 2015",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,SIDE OF BUILDING,ORIGINAL,1991.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2.0,6.0,2.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4L,,YES,,TCHC,SIDE OF BUILDING,4153714.0,NO,NO,NO,520  KINGSTON RD ,YES,YES,1991.0,YES,BOTH,19,DOUBLE PANE,1992.0,,2017.0,,,,,,,,
92695,NONE,,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,4.0,36.0,"MAR 24, 2016",,,,ALL,REPLACED,,NO,Green Bin / Organics,YES,NO,SIDE ,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT ,YES,0.0,0.0,1.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4W,,YES,HOLLYBURN PROPERTIES LTD,PRIVATE,SIDE ,4153734.0,NO,YES,NO,10  LAMPORT AVE ,YES,YES,1969.0,YES,UNAVAILABLE,11,DOUBLE PANE,1969.0,2016.0,2017.0,,,,,,,,
92696,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,53.0,"JAN 1, 2018",,,,ELEVATOR WALKWAY ON ROOF,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,2018.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,1.0,6.0,YES,YES,"Underground Garage , Garage accessible thru buildg",M4W,,YES,AKELIUS CANADA LTD,PRIVATE,LEFT OF THE BUILDING,4153735.0,NO,YES,NO,36  CASTLE FRANK RD ,YES,YES,1997.0,YES,UNAVAILABLE,11,DOUBLE PANE,1950.0,2015.0,2017.0,,,,,,,,
92697,CENTRAL AIR,Outdoor pool,NO,NO,YES,YES,YES,1 indoor parking spots and 0 outdoor parking spots,23.0,245.0,"AUG 1, 2016",,,,,ORIGINAL,,YES,Green Bin / Organics,YES,YES,UNDERGROUND GARAGE,REPLACED,2008.0,HOT WATER,YES,YES,NO,NO,YES,24 HR ,BASEMENT,YES,0.0,1.0,3.0,24.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M4T,,YES,,PRIVATE,UNDERGROUND GARAGE ,4153745.0,NO,NO,NO,50  ROSEHILL AVE ,YES,NO,1969.0,YES,PAID,12,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
92698,INDIVIDUAL UNITS,,YES,YES,YES,NO,NO,0 indoor parking spots and 14 outdoor parking spots,4.0,32.0,,,,,,,,YES,Green Bin / Organics,YES,NO,FRONT EXTERIOR,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,9AM-9PM,MAIN FLR,NO,0.0,0.0,0.0,4.0,NO,YES,,M6G,,YES,,PRIVATE,FRONT EXTERIOR,4153171.0,NO,NO,NO,456  PALMERSTON BLVD ,NO,,,,UNAVAILABLE,11,DOUBLE PANE,1904.0,,2017.0,,,,,,,,
92699,NONE,,YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,7.0,63.0,"NOV 6, 2015",,,,ALL NEW,REPLACED,NO,YES,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1965.0,HOT WATER,NO,YES,NO,YES,YES,8:00 A.M. TO 10:00 P.M.,BASEMENT,YES,0.0,0.0,2.0,6.0,YES,YES,Underground Garage,M5R,,YES,CROMEWLL MANAGEMENT INC.,PRIVATE,OUTSIDE,4153173.0,NO,NO,NO,11  WALMER RD ,YES,YES,1965.0,YES,UNAVAILABLE,11,DOUBLE PANE,1965.0,2013.0,2017.0,,,,,,,,
92700,NONE,,YES,YES,YES,YES,YES,30 indoor parking spots and 40 outdoor parking spots,13.0,85.0,"JAN 15, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,OUTSIDE OF BUILDING,REPLACED,2011.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,60.0,2.0,8.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5R,,YES,,PRIVATE,OUTSIDE OF BUILDING,4153187.0,NO,YES,NO,44  WALMER RD ,YES,YES,1960.0,YES,BOTH,11,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92701,CENTRAL AIR,"Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,70 indoor parking spots and 0 outdoor parking spots,5.0,91.0,"DEC 12, 2012",,FULL GYM,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,TRISORTER IN CHUTE ROOM,ORIGINAL,2009.0,HOT WATER,NO,YES,NO,YES,YES,24,3RD FLOOR,NO,0.0,0.0,2.0,10.0,NO,NO,"Underground Garage , Garage accessible thru buildg",,,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,TRISORTER IN CHUTE ROOM,4155901.0,NO,YES,NO,88  SPADINA RD ,YES,YES,2009.0,YES,PAID,11,DOUBLE PANE,2009.0,,2017.0,,,,,,,,
92702,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,92.0,"NOV 15, 2016",,,,COMPLETE MODERNIZATION,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 8 PM,GROUND FLOOR,NO,0.0,2.0,2.0,6.0,YES,YES,Surface Parking,M1R,,NO,AMAZ PROPERTY MANAGEMENT,PRIVATE,REAR,4152661.0,NO,NO,NO,5  LYNVALLEY CRES ,YES,YES,1965.0,NO,FREE,21,DOUBLE PANE,1965.0,2010.0,2017.0,,,,,,,,
92703,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,10.0,,,,,,,,NO,Green Bin / Organics,YES,NO,NORTH SIDE OF BUILDING,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,FIRST FLOOR,NO,0.0,9.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M1K,,YES,,PRIVATE,NORTH SIDE OF BUILDING,4152666.0,NO,NO,NO,115  FOXRIDGE DR ,YES,YES,1950.0,,FREE,20,DOUBLE PANE,1958.0,,2020.0,,,,,,,,
92704,NONE,,YES,YES,YES,YES,NO,Not Available,6.0,91.0,"APR 17, 2013",,,,ALL,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,ALL HOURS,FIRST FLOOR,NO,0.0,2.0,2.0,8.0,NO,YES,Surface Parking,M1K,,YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,SIDE OF BUILDING,4152683.0,NO,YES,NO,2243  EGLINTON AVE E,YES,YES,1968.0,YES,FREE,20,DOUBLE PANE,1968.0,2007.0,2017.0,,,,,,,,
92705,NONE,Outdoor rec facilities,YES,NO,YES,NO,NO,Not Available,3.0,22.0,,,,,,,,NO,Green Bin / Organics,YES,NO,AT SOUTH SIDE OF BUILDING,REPLACED,2009.0,HOT WATER,NO,YES,NO,NO,YES,8:30 AM TO 10 PM,ONE AT EACH END OF BUILDING,YES,0.0,13.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M6M,,YES,,PRIVATE,AT SOUTH SIDE OF BUILDING,4154289.0,NO,YES,NO,2246  KEELE ST ,NO,,,,FREE,5,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
92706,NONE,,NO,NO,YES,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,NORTH SIDE OF BUILDING,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR OF BUILDING,NO,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M6L,,NO,,PRIVATE,NORTH SIDE OF BUILDING,4154305.0,NO,YES,NO,2419  KEELE ST ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
92707,NONE,,YES,NO,YES,YES,NO,0 indoor parking spots and 5 outdoor parking spots,3.0,22.0,,,,,,,,YES,Green Bin / Organics,YES,NO,OUTSIDE NEAR GARBAGE STORAGE,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 10PM,BASEMENT ,YES,22.0,0.0,0.0,4.0,YES,YES,Surface Parking,M3C,,YES,O'SHANTER DEVELOPMENT COMPANY,PRIVATE,OUTSIDE NEAR GARBAGE STORAGE,4154791.0,NO,YES,NO,46  FOXDEN RD ,NO,,,,UNAVAILABLE,16,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92708,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,0 indoor parking spots and 14 outdoor parking spots,6.0,65.0,"DEC 13, 2018",,,,MODERNIZATION OF ELEVATOR,REPLACED,NO,NO,Green Bin / Organics,YES,NO,,REPLACED,2006.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,1.0,12.0,YES,YES,"Underground Garage , Ground Level Garage , Surface Parking",M3C,,YES,AKELIUS CANADA LTD,PRIVATE,,4154793.0,NO,YES,NO,150  THE DONWAY  W,YES,YES,1962.0,YES,FREE,16,DOUBLE PANE,1962.0,2016.0,2019.0,,,,,,,,
92709,NONE,,YES,YES,YES,YES,NO,13 indoor parking spots and 0 outdoor parking spots,19.0,218.0,"JUN 2, 2016",,,,ALL,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,1985.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,GROUND ,YES,0.0,2.0,3.0,25.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3A,,NO,BEAUX PROPERTIES MANAGEMENT,PRIVATE,N.E. SIDE BUILDING,4154803.0,NO,YES,NO,135  FENELON DR ,YES,YES,1965.0,YES,FREE,16,DOUBLE PANE,1965.0,2015.0,2017.0,,,,,,,,
92710,CENTRAL AIR,"Indoor recreation room , Indoor exercise room , Child play area",YES,YES,YES,NO,YES,50 indoor parking spots and 5 outdoor parking spots,14.0,221.0,"NOV 6, 2015",TENANTS ONLY,TENANTS ONLY,,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,GARBAGE ROOM ON THE MAIN FLOOR,REPLACED,2008.0,HOT WATER,YES,YES,YES,YES,YES,6 A.M. - 10:00 P.M.,MAIN FLOOR,YES,14.0,18.0,3.0,32.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M3A,NO,YES,,SOCIAL HOUSING,,4154806.0,NO,NO,NO,2020  DON MILLS RD ,YES,YES,1993.0,YES,FREE,16,DOUBLE PANE,1993.0,,2017.0,,,,,,,,
92711,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,YES,0 indoor parking spots and 20 outdoor parking spots,17.0,216.0,"MAY 1, 2017",,GYM,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2015.0,HOT WATER,YES,YES,YES,YES,YES,24HRS,BASEMENT LEVEL,YES,0.0,1.0,3.0,22.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M2J,LEASHED,YES,,PRIVATE,OUTSIDE,4154813.0,NO,YES,NO,110  PARKWAY FOREST DR ,YES,YES,2015.0,YES,FREE,17,DOUBLE PANE,1967.0,2016.0,2017.0,,,,,,,,
92712,NONE,Outdoor pool,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,13.0,153.0,"JUN 17, 2017",,,,,ORIGINAL,,YES,Green Bin / Organics,YES,YES,EAST SIDE OF THE BUILDING,REPLACED,2011.0,HOT WATER,NO,YES,NO,NO,YES,24 HR ,1 ST FLOOR,NO,1.0,2.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2J,,YES,,PRIVATE,EAST SIDE OF THE BUILDING,4154819.0,NO,NO,NO,225  VAN HORNE AVE ,YES,YES,1968.0,YES,FREE,17,DOUBLE PANE,1968.0,,2017.0,,,,,,,,
92713,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,NO,Not Available,37.0,285.0,"SEP 19, 2016",,,,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,,REPLACED,2016.0,FORCED AIR GAS,NO,YES,NO,YES,YES,8:00AM - 10:00PM,B-1 LEVEL BASEMENT ,YES,0.0,46.0,4.0,15.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9A,,YES,WILSTAR MANAGEMENT LTD.,PRIVATE,,4155306.0,NO,YES,NO,50  CORDOVA AVE ,YES,YES,1973.0,NO,FREE,3,SINGLE PANE,1973.0,,2017.0,,,,,,,,
92714,NONE,,YES,YES,YES,YES,YES,Not Available,5.0,42.0,"OCT 19, 2016",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,SURFACE,ORIGINAL,1959.0,HOT WATER,NO,YES,NO,NO,YES,9AM  - 9 PM,BASEMENT FLOOR,YES,42.0,42.0,1.0,8.0,YES,YES,"Ground Level Garage , Surface Parking",M9A,,YES,FREIMAN INVESTMENTS,PRIVATE,SURFACE,4155308.0,NO,YES,NO,24  BURNHAMTHORPE RD ,YES,YES,1974.0,YES,UNAVAILABLE,3,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
92715,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,4.0,23.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2002.0,HOT WATER,NO,YES,NO,NO,YES,8:00AM-11:00PM,BASEMENT,YES,0.0,13.0,0.0,4.0,NO,YES,"Carport , Surface Parking",M9A,,YES,,PRIVATE,OUTSIDE,4155315.0,NO,YES,NO,8  ANGLESEY BLVD ,NO,,,,UNAVAILABLE,2,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
92716,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,38.0,,,,,,,,NO,Green Bin / Organics,YES,NO,REAR PARKING LOT,ORIGINAL,1953.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,REAR OF PROPERTY,NO,0.0,24.0,0.0,4.0,NO,YES,"Ground Level Garage , Carport , Surface Parking",M9A,NONE,YES,MARK & ROMA SAUNDERS,PRIVATE,YES,4155316.0,NO,YES,NO,12  ANGLESEY BLVD ,NO,,,,UNAVAILABLE,2,SINGLE PANE,1953.0,,2017.0,,,,,,,,
92717,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,24.0,,,,,,,,NO,Green Bin / Organics,YES,NO,PARKING LOT,ORIGINAL,1958.0,HOT WATER,NO,YES,NO,NO,YES,8 AM - 10 PM,BASEMENT,YES,0.0,17.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M9A,SMALL PETS ONLY,YES,,PRIVATE,PARKING LOT,4155317.0,NO,YES,NO,14-16  ANGLESEY BLVD ,NO,,,,UNAVAILABLE,2,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
92718,CENTRAL AIR,Indoor recreation room,YES,YES,YES,YES,YES,22 indoor parking spots and 0 outdoor parking spots,11.0,158.0,"AUG 1, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2017.0,HOT WATER,NO,YES,YES,YES,YES,6.30 AM - 11.30 PM,SECOND FLOOR,NO,8.0,18.0,2.0,7.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1R,2 PETS,YES,,SOCIAL HOUSING,OUTSIDE,4155915.0,NO,NO,NO,2015  LAWRENCE AVE E,YES,YES,1994.0,YES,FREE,21,DOUBLE PANE,1994.0,,2017.0,,,,,,,,
92719,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,NO,Not Available,7.0,105.0,"JAN 6, 2015",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1971.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,1.0,2.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9B,,YES,PRINCESS MANAGEMENT,PRIVATE,OUTSIDE,4155928.0,NO,YES,NO,41  WARRENDER AVE ,YES,YES,1971.0,YES,FREE,2,SINGLE PANE,1971.0,2010.0,2017.0,,,,,,,,
92720,CENTRAL AIR,Indoor recreation room,YES,YES,YES,NO,YES,20 indoor parking spots and 0 outdoor parking spots,11.0,112.0,"SEP 15, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE ,ORIGINAL,2008.0,FORCED AIR GAS,YES,YES,NO,YES,YES,24/7,GROUND FLOOR ,YES,8.0,1.0,2.0,6.0,NO,YES,Surface Parking,,TORONTO BY-LAWS,YES,,SOCIAL HOUSING,CHUTE ROOMS ,4155931.0,NO,NO,NO,490  SHERBOURNE ST ,YES,YES,2008.0,YES,FREE,13,DOUBLE PANE,2008.0,,2017.0,,,,,,,,
92721,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,7.0,96.0,"SEP 13, 2016",,,SMALL PARK,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2015.0,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,1ST FLOOR,YES,0.0,2.0,1.0,12.0,NO,YES,"Ground Level Garage , Surface Parking",M1P,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,OUTDOOR,4155956.0,NO,NO,NO,2702  LAWRENCE AVE E,YES,YES,2009.0,NO,FREE,21,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
